Airline,Time,Amount,Type,Source
United,20222,12112000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20221,7566000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20214,8192000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20213,7750000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20212,5471000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20211,3221000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20204,3412000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20203,2489000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20202,1475000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20201,7979000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20194,10888000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20193,11380000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20192,11402000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20191,9589000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20184,10491000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20183,11003000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20182,10777000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20181,9032000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20174,9451000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20173,9899000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
United,20172,10008000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
