year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,6,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",468,50,25.8,2.46,9.4,0,12.34,6,1,3212,1817,191,538,0,666
2022,6,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",146,15,4.28,1,6.23,0,3.49,0,1,449,105,64,208,0,72
2022,6,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",684,170,86.29,6.04,41.97,0,35.7,33,2,15417,8527,1249,3710,0,1931
2022,6,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",881,191,105.64,4.73,52.42,0,28.21,39,4,11080,7152,303,1852,0,1773
2022,6,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",913,161,78.54,7.21,33.79,0,41.46,43,3,11377,5861,675,1807,0,3034
2022,6,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4875,660,280.36,13.8,108.52,0,257.32,169,5,52820,28075,1129,6062,0,17554
2022,6,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",484,109,47.54,2.52,49.4,0,9.54,44,1,8962,3373,149,4842,0,598
2022,6,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",891,263,130.58,6.56,72.75,0,53.11,42,6,18700,10264,1270,3839,0,3327
2022,6,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",223,36,19.45,3.64,6.83,0,6.08,15,1,2706,1438,260,651,0,357
2022,6,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",577,113,62.76,4.72,15.5,1,29.01,17,2,7275,3634,397,884,37,2323
2022,6,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2283,633,176.44,17.2,267.76,2.49,169.11,183,7,59032,23075,1691,16879,264,17123
